fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,color,index,taste
9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7,1,666,0
7.4,0.52,0.13,2.4,0.078,34,61,0.99528,3.43,0.59,10.8,1,909,1
6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,0,3337,1
5.8,0.19,0.33,4.2,0.038,49,133,0.99107,3.16,0.42,11.3,0,5778,1
6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7,0,5336,0
7.1,0.42,0.2,2.8,0.038,28,109,0.98968,3.23,0.47,13.4,0,6062,1
6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,0,4755,1
7.1,0.35,0.27,3.1,0.034,28,134,0.9897,3.26,0.38,13.1,0,5129,1
11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,1,210,1
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,1,106,0
5.8,0.15,0.28,0.8,0.037,43,127,0.99198,3.24,0.51,9.3,0,4247,0
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,0,1686,1
5.6,0.18,0.31,1.5,0.038,16,84,0.9924,3.34,0.58,10.1,0,3607,1
6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,0,4435,1
6.9,0.21,0.81,1.1,0.137,52,123,0.9932,3.03,0.39,9.2,0,2651,1
6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,0,4344,1
6.9,0.28,0.3,8.3,0.026,37,113,0.99139,2.99,0.38,12.3,0,4991,1
7.4,0.2,0.29,1.7,0.047,16,100,0.99243,3.28,0.45,10.6,0,3848,1
7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1,0,5029,0
7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,0,6012,1
6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,0,2802,0
6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,0,4637,1
6.8,0.24,0.37,7.45,0.043,59,188,0.99579,3.2,0.5,9.4,0,4314,1
13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,1,510,1
6,0.22,0.33,12.2,0.033,25,97,0.99356,3.17,0.42,11.3,0,4957,1
8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,1,538,1
5.7,0.26,0.3,1.8,0.039,30,105,0.98995,3.48,0.52,12.5,0,4922,1
9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,1,411,1
7.3,0.19,0.27,1.6,0.027,35,136,0.99248,3.38,0.54,11,0,4052,1
6.8,0.36,0.24,4.6,0.039,24,124,0.9909,3.27,0.34,12.6,0,3103,1
6,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,0,2449,1
8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,1,706,0
7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,1,633,1
7.8,0.25,0.41,3.7,0.042,37,149,0.9954,3.36,0.45,10,0,1912,1
6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,1,1155,1
7.2,0.33,0.28,1.4,0.034,26,109,0.99246,3.28,0.57,10.6,0,6308,1
5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,0,2604,1
5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,0,1954,1
7.9,0.28,0.49,7.7,0.045,48,195,0.9954,3.04,0.55,11,0,3127,1
6.2,0.345,0.27,10.1,0.056,38,187,0.99486,3.31,0.56,10.6,0,5825,0
7.4,0.27,0.52,15.7,0.054,36,139,0.99788,3.04,0.62,10.03333333,0,5941,1
6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,0,5822,0
7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,1,72,0
6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,1,1176,1
8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,1,1107,1
5.8,0.27,0.4,1.2,0.076,47,130,0.99185,3.13,0.45,10.3,0,6376,1
7.2,0.31,0.24,1.4,0.057,17,117,0.9928,3.16,0.35,10.5,0,3041,0
7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,1,374,0
6.8,0.22,0.3,13.6,0.055,50,180,0.9984,3.44,0.39,9.8,0,3309,0
7.5,0.59,0.22,1.8,0.082,43,60,0.99499,3.1,0.42,9.2,1,1257,0
6.5,0.35,0.36,0.8,0.034,32,111,0.98942,3.11,0.5,12.1,0,4596,1
7.1,0.23,0.39,1.6,0.032,12,65,0.9898,3.25,0.4,12.7,0,2091,1
6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,0,6370,1
8.5,0.19,0.56,17.3,0.055,47,169,1.00047,3.07,0.67,9.3,0,3869,1
6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,1,1465,0
4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,1,822,1
7,0.21,0.22,5.1,0.048,38,168,0.9945,3.34,0.49,10.4,0,3471,1
7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,0,3574,0
6.6,0.28,0.3,12.9,0.033,31,177,0.99479,3.12,0.39,11.2,0,6207,1
6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4,0,4502,0
8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6,1,797,0
7.6,0.34,0.39,7.6,0.04,45,215,0.9965,3.11,0.53,9.2,0,3622,1
6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9,0,3987,0
6.2,0.2,0.49,1.6,0.065,17,143,0.9937,3.22,0.52,9.2,0,3217,1
7.2,0.34,0.28,10.4,0.108,43,187,0.99738,2.96,0.57,9.4,0,5949,0
7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4,1,1193,1
6.8,0.2,0.28,12.6,0.048,54,136,0.99556,3.19,0.37,10.7,0,4956,1
7.5,0.28,0.34,4.2,0.028,36,116,0.991,2.99,0.41,12.3,0,2866,1
6.6,0.21,0.31,11.4,0.039,46,165,0.99795,3.41,0.44,9.8,0,2403,1
7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,0,4236,0
6.9,0.39,0.22,4.3,0.03,10,102,0.993,3,0.87,11.6,0,2893,0
7.2,0.16,0.29,1,0.031,40,123,0.98958,3.12,0.4,12.1,0,5195,1
11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,1,357,0
6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13,0,6222,1
7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,0,3437,1
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,1,206,1
6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,0,4327,1
7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,0,5893,0
7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,1,1258,1
6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,0,1788,1
5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,0,1952,1
7,0.23,0.42,1.1,0.062,35,100,0.99318,3.04,0.4,9.2,0,5621,0
6.2,0.38,0.42,2.5,0.038,34,117,0.99132,3.36,0.59,11.6,0,6476,1
6.2,0.21,0.34,6.6,0.03,36,91,0.9914,3.32,0.45,12.5,0,4264,1
6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,0,5951,1
9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,1,1171,1
6.3,0.2,0.3,5.9,0.034,35,152,0.99642,3.47,0.4,8.5,0,3868,1
6,0.28,0.27,2.3,0.051,23,147,0.994,3.23,0.67,10.3,0,3801,1
7.4,0.23,0.25,1.4,0.049,43,141,0.9934,3.42,0.54,10.2,0,3353,1
5.7,0.41,0.21,1.9,0.048,30,112,0.99138,3.29,0.55,11.2,0,6466,1
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,1,234,0
7.1,0.32,0.29,4,0.038,33,170,0.99463,3.27,0.64,10.2,0,4116,1
9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,1,1076,1
7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,1,58,0
7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,1,659,1
4.8,0.13,0.32,1.2,0.042,40,98,0.9898,3.42,0.64,11.8,0,6178,1
5.6,0.32,0.32,8.3,0.043,32,105,0.99266,3.24,0.47,11.2,0,4917,1
5.7,0.44,0.13,7,0.025,28,173,0.9913,3.33,0.48,12.5,0,2095,1
8.4,0.59,0.29,2.6,0.109,31,119,0.99801,3.15,0.5,9.1,1,978,0
8.4,0.67,0.19,2.2,0.093,11,75,0.99736,3.2,0.59,9.2,1,928,0
6.8,0.18,0.28,8.7,0.047,52,242,0.9952,3.22,0.53,10.5,0,2496,1
7,0.31,0.31,9.1,0.036,45,140,0.99216,2.98,0.31,12,0,4528,1
15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,1,443,1
7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,0,1612,0
6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,0,4150,0
12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,1,364,0
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,1,145,1
6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,1,130,0
6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,1,905,1
6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,1,1499,1
7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,0,1637,1
5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,0,1867,0
6,0.39,0.17,12,0.046,65,246,0.9976,3.15,0.38,9,0,2408,1
6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,1,1006,1
7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10,0,3489,0
11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,1,544,1
5.9,0.46,0,1.9,0.077,25,44,0.99385,3.5,0.53,11.2,1,1273,0
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,0,4681,0
7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,0,4540,1
6.6,0.17,0.26,7.4,0.052,45,128,0.99388,3.16,0.37,10,0,6360,1
5.8,0.28,0.18,1.2,0.058,7,108,0.99288,3.23,0.58,9.55,0,6083,0
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,0,3591,1
7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,1,216,0
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,0,1684,0
6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,0,3699,0
6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,0,4048,1
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,1,1328,1
7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,0,1721,0
6.7,0.17,0.37,2,0.039,34,125,0.9922,3.26,0.6,10.8,0,2289,1
7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,1,1227,0
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,0,2442,1
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,1,24,0
7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,0,2559,1
6.8,0.22,0.26,1.2,0.041,29,182,0.99104,3.04,0.35,11.2,0,5316,0
7.6,0.31,0.34,2.5,0.082,26,35,0.99356,3.22,0.59,12.5,1,1037,1
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,1,1250,1
5.5,0.34,0.26,2.2,0.021,31,119,0.98919,3.55,0.49,13,0,4565,1
5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,0,4068,1
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,0,5814,0
6.1,0.53,0.08,1.9,0.077,24,45,0.99528,3.6,0.68,10.3,1,1537,1
5.4,0.27,0.22,4.6,0.022,29,107,0.98889,3.33,0.54,13.8,0,6160,1
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,1,591,0
7.1,0.28,0.31,1.5,0.053,20,98,0.99069,3.15,0.5,11.4,0,5477,0
5.7,0.18,0.36,1.2,0.046,9,71,0.99199,3.7,0.68,10.9,0,4246,1
6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,0,1962,1
6.5,0.29,0.25,10.6,0.039,32,120,0.9962,3.31,0.34,10.1,0,2698,1
6.3,0.67,0.48,12.6,0.052,57,222,0.9979,3.17,0.52,9.3,0,3001,1
6.6,0.24,0.28,6.7,0.032,26,91,0.99172,3.13,0.32,12.3,0,4902,1
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,1,460,0
7.5,0.3,0.71,1.3,0.16,44,149,0.9948,3.08,0.42,8.9,0,3625,0
6.5,0.32,0.34,5.7,0.044,27,91,0.99184,3.28,0.6,12,0,4871,1
10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,1,293,1
5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,1,917,0
6.8,0.3,0.22,6.2,0.06,41,190,0.99858,3.18,0.51,9.2,0,4330,0
7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,0,1632,1
6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,0,1633,1
6,0.26,0.29,1,0.032,27,96,0.9896,3.38,0.44,12.3,0,3418,1
6.9,0.2,0.36,1.5,0.031,38,147,0.9931,3.35,0.56,11,0,2669,1
6.6,0.19,0.28,1.1,0.044,38,100,0.9904,3.22,0.69,11.2,0,6106,1
7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,1,62,0
6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,0,4089,1
5.6,0.24,0.34,2,0.041,14,73,0.98981,3.04,0.45,11.6,0,6229,1
7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,0,4616,1
7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,1,826,0
8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,1,1052,0
5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,0,2813,1
7.6,0.735,0.02,2.5,0.071,10,14,0.99538,3.51,0.71,11.7,1,856,1
6.3,0.15,0.3,1.4,0.022,38,100,0.99099,3.42,0.57,11.4,0,5378,1
6.3,0.17,0.32,1,0.04,39,118,0.98886,3.31,0.4,13.1,0,5767,1
5.7,0.25,0.26,12.5,0.049,52.5,120,0.99691,3.08,0.45,9.4,0,5675,1
6.5,0.2,0.35,3.9,0.04,27,140,0.99102,2.98,0.53,11.8,0,6358,1
6.8,0.35,0.44,6.5,0.056,31,161,0.9952,3.14,0.44,9.5,0,3494,0
7.3,0.36,0.54,13.3,0.054,63,193,0.99864,3.06,0.49,8.6,0,5472,0
6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,0,4980,1
6.9,0.31,0.33,12.7,0.038,33,116,0.9954,3.04,0.65,10.4,0,6325,1
7.8,0.3,0.4,1.8,0.028,23,122,0.9914,3.14,0.39,10.9,0,2324,1
5.6,0.25,0.19,2.4,0.049,42,166,0.992,3.25,0.43,10.4,0,5275,1
6.7,0.12,0.3,5.2,0.048,38,113,0.99352,3.33,0.44,10.1,0,4245,1
5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,0,4163,0
9.2,0.28,0.41,1,0.042,14,59,0.9922,2.96,0.25,10.5,0,2810,1
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,0,1797,0
5.4,0.29,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4,0,6189,1
6.8,0.83,0.09,1.8,0.074,4,25,0.99534,3.38,0.45,9.6,1,1382,0
6.4,0.26,0.26,1.1,0.052,22,176,0.99304,3.09,0.54,9.3,0,5627,0
7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,1,707,0
11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,1,1022,1
6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3,1,1579,1
6.4,0.24,0.32,0.95,0.041,23,131,0.99033,3.25,0.35,11.8,0,4812,0
6.4,0.36,0.2,5.7,0.118,61,172,0.9946,3.24,0.43,9.5,0,5229,1
6,0.13,0.36,1.6,0.052,23,72,0.98974,3.1,0.5,11.5,0,5724,1
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,1,94,0
11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,1,359,1
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,0,6149,0
8,0.23,0.37,9.6,0.054,23,159,0.99795,3.32,0.47,9.8,0,2508,0
7,0.22,0.26,1.1,0.037,20,71,0.9902,3.1,0.38,11.7,0,3796,1
6.9,0.23,0.34,2.7,0.032,24,121,0.9902,3.14,0.38,12.4,0,2974,1
7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,0,3284,1
6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,0,3379,1
7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,0,4749,1
6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,0,4155,1
6.3,0.14,0.39,1.2,0.044,26,116,0.992,3.26,0.53,10.3,0,2008,1
7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,1,698,1
6.6,0.26,0.36,1.2,0.035,43,126,0.99094,3.01,0.63,11.4,0,6241,1
8,0.33,0.35,10,0.035,22,108,0.99457,3.12,0.36,11.6,0,6187,1
6.6,0.34,0.25,4.8,0.038,16,121,0.99198,3.36,0.71,12.6,0,5909,1
5.5,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,0,4743,0
8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,0,3231,1
7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,0,1664,1
6.8,0.34,0.44,6.6,0.052,28,156,0.9955,3.14,0.41,9.6,0,3647,0
6.7,0.34,0.3,15.6,0.054,51,196,0.9982,3.19,0.49,9.3,0,1883,0
5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9,0,2142,1
9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,1,524,0
6,0.555,0.26,4.5,0.053,17,126,0.9943,3.24,0.46,9.1,0,6079,0
7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1,0,3141,0
7.9,0.18,0.36,5.9,0.058,31,132,0.995,3.25,0.52,10.9,0,3736,1
7,0.57,0,2,0.19,12,45,0.99676,3.31,0.6,9.4,1,781,1
6.2,0.3,0.21,1.1,0.032,31,111,0.9889,2.97,0.42,12.2,0,4971,1
7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9,0,2530,1
6.5,0.26,0.28,12.5,0.046,80,225,0.99685,3.18,0.41,10,0,2532,1
6.7,0.28,0.28,4.5,0.051,14,92,0.99224,3.36,0.58,11.9,0,6036,1
6.3,0.26,0.49,1.5,0.052,34,134,0.9924,2.99,0.61,9.8,0,2205,1
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,0,1836,1
5.9,0.19,0.37,0.8,0.027,3,21,0.9897,3.09,0.31,10.8,0,4719,0
7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,1,994,0
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,1,641,0
6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,0,3539,0
6.8,0.24,0.35,6.4,0.048,44,172,0.9944,3.29,0.55,10.5,0,3454,1
7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,1,848,1
7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,0,1623,0
5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12,0,5456,1
6.2,0.34,0.25,12.1,0.059,33,171,0.99769,3.14,0.56,8.7,0,5722,1
7.4,0.19,0.3,12.8,0.053,48.5,212,0.9986,3.14,0.49,9.1,0,3775,1
4.8,0.17,0.28,2.9,0.03,22,111,0.9902,3.38,0.34,11.3,0,5326,1
10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,1,1183,1
8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,1,649,1
7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,1,1419,0
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,1,68,0
6.1,0.27,0.31,3.9,0.034,42,137,0.99218,3.24,0.46,10.9,0,6341,1
7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,0,3439,1
6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,0,3849,0
7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,1,1451,1
6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11,0,6193,1
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,0,4184,1
7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8,0,3053,1
8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,0,3237,1
6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,1,824,0
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,0,4182,1
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,1,52,1
5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,0,5124,1
8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,0,3414,1
6.4,0.28,0.43,7.1,0.045,60,221,0.9952,3.09,0.45,9.4,0,2602,1
5.8,0.18,0.37,1.1,0.036,31,96,0.98942,3.16,0.48,12,0,4916,1
5.5,0.16,0.26,1.5,0.032,35,100,0.99076,3.43,0.77,12,0,6353,1
7.9,0.37,0.3,2.7,0.029,64,158,0.9916,3.12,0.59,12,0,3507,1
7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,1,135,1
6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,0,5073,1
7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,1,1272,1
7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,0,2032,1
6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,1,347,1
12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,1,403,1
7.8,0.26,0.74,7.5,0.044,59,160,0.996,3.22,0.64,10,0,3107,1
8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,0,1754,1
