longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,noAsso
-122.3,37.77,42,2038,368,2037,355,2.6447,200000,363
-117.05,32.74,34,2178,455,1193,446,3.1719,115300,364
-118.61,34.31,4,1949,458,868,398,5.0151,285200,365
-118.02,33.91,35,1337,234,692,235,5.1155,213700,366
-121.83,37.3,16,5684,1386,4203,1318,3.1964,185800,367
-116.97,33.78,24,2680,606,1728,527,2.535,74800,368
-122.36,40.48,21,2333,514,1308,509,2.0899,74800,369
-118.43,33.99,42,2558,558,1328,541,4.875,301300,370
-117.26,32.95,34,1651,273,650,271,5.6582,500001,371
-115.54,32.79,30,752,194,733,186,1.6607,56100,372
-122.23,37.79,43,5963,1344,4367,1231,2.1917,112800,373
-117.09,32.69,18,1645,430,1221,410,1.3269,108000,374
-121.35,38.46,2,6992,1132,2816,984,4.3879,144400,375
-118.23,34.1,46,2483,587,2121,553,2.2788,152900,376
-118.05,34.16,41,3320,713,1236,659,3.5694,278600,377
-121.07,38.9,52,1280,281,523,266,1.7375,122200,378
-122.53,37.93,37,1722,352,648,337,4.125,310300,379
-117.85,33.89,22,4020,655,1486,635,5.9639,262300,380
-122.06,37.63,12,6711,1374,3388,1289,3.8625,208900,381
-117.74,34.07,52,1868,316,947,328,4.2415,140100,382
-117.93,33.83,30,1561,381,1104,391,3.375,201900,383
-121.95,37.35,36,832,211,545,211,3.2813,244400,384
-118.14,33.89,33,2867,786,1774,705,2.9292,183400,385
-116.17,33.53,13,1713,512,1978,442,2.1287,58600,386
-119.08,35.39,10,6435,1040,3242,1030,5.575,132200,387
-117.68,33.47,7,4458,731,1731,704,6.126,285600,388
-122.48,37.76,50,2236,484,1171,467,4.0977,322100,389
-117.29,35.54,35,7922,1636,3431,1329,3.4145,40400,390
-117.94,33.83,20,812,192,494,172,3.25,350000,391
-117.73,34.09,30,2345,496,1897,454,2.4375,112100,392
-117.76,34.12,16,9020,1509,3575,1486,4.2415,275700,393
-122.04,38.25,38,1214,244,632,254,2.8438,94200,394
-118.84,34.22,11,3170,420,1418,432,7.5118,361900,395
-119.18,34.16,12,460,101,405,103,5.2783,167400,396
-121.7,36.55,21,3905,583,1528,586,7.6245,336600,397
-117.24,34.13,24,1203,310,594,187,1.1522,87500,398
-120.38,37.99,36,2864,603,1155,565,2.3571,113400,399
